CHERN,YCHERN01@e.ntu.edu.sg,SCSE,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,-1
KOH,KOH1@e.ntu.edu.sg,ADM,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,40
BRANDON,BR015@e.ntu.edu.sg,EEE,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,-1
CALVIN,CT113@e.ntu.edu.sg,SCSE,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,-1
CHAN,YCN019@e.ntu.edu.sg,NBS,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,-1
DENISE,DL007@e.ntu.edu.sg,SCSE,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,-1
DONG,DON84@e.ntu.edu.sg,ADM,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,-1
ERNEST,ELI34@e.ntu.edu.sg,EEE,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,-1
LEE,LE51@e.ntu.edu.sg,SCSE,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,-1
LIU,SL22@e.ntu.edu.sg,NBS,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,-1
RAWAL,AKY013@e.ntu.edu.sg,SSS,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,-1
JANICE,JKWO01@e.ntu.edu.sg,NBS,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,-1
JOEY,JKEE003@e.ntu.edu.sg,CCEB,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,-1
JUN YU,JUNY034@e.ntu.edu.sg,EEE,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,-1
LAI MENG,YLM061@e.ntu.edu.sg,CEE,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,-1
MARGARET,MNGIA03@e.ntu.edu.sg,MSE,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,-1
CHRISTINE,ZCHRI023@e.ntu.edu.sg,SCSE,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,-1
BERNADETTE,BERNA001@e.ntu.edu.sg,MAE,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,-1
MICHELLE,TEHYP02@e.ntu.edu.sg,ADM,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,-1
ABIGAIL,KHOOA002@e.ntu.edu.sg,SOH,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,-1
GRACE,KOHG06@e.ntu.edu.sg,SSS,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,-1
ELAINE,CHEWE05@e.ntu.edu.sg,WKWSCI,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,-1
JEANNIE,CJEAN014@e.ntu.edu.sg,SPMS,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,-1
CAIWEN,WEECA007@e.ntu.edu.sg,SBS,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,-1
CAROLINE,LEECA17@e.ntu.edu.sg,ASE,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,-1
MA LIM,LIMMA01@e.ntu.edu.sg,LKC,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,-1
RENA,LENGR09@e.ntu.edu.sg,NIE,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,-1
EILEEN,YEOEI001@e.ntu.edu.sg,NBS,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,-1
JUDY,KHIMJ008@e.ntu.edu.sg,CCEB,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,-1
DORA,DORAP002@e.ntu.edu.sg,EEE,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,-1
BENG CHOO,BCQUE004@e.ntu.edu.sg,CEE,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,-1
HUI LI,LIEWH002@e.ntu.edu.sg,MSE,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,-1
NAYELI,NAYEL005@e.ntu.edu.sg,SCSE,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,8
FELICIA,TANHU11@e.ntu.edu.sg,MAE,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,-1
HAFIZAH,HAFIZ021@e.ntu.edu.sg,ADM,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,-1
SANDY,SANDY034@e.ntu.edu.sg,SOH,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,-1
NASUHA,CHYEN012@e.ntu.edu.sg,SSS,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,-1
CATHY,SICAT009@e.ntu.edu.sg,WKWSCI,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,-1
RISA,LIMRI023@e.ntu.edu.sg,SPMS,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,-1
CLAIRE,THOMP031@e.ntu.edu.sg,SBS,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,-1
AH NOOI,CHENGA034@e.ntu.edu.sg,ASE,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,-1
CHLOE,WEECH03@e.ntu.edu.sg,LKC,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,-1
EMMA,YAPLI24@e.ntu.edu.sg,NIE,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,-1
CHERN MAY,KHIMC14@e.ntu.edu.sg,NBS,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,-1
GEMMIE,CHEEG06@e.ntu.edu.sg,CCEB,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,-1
SEOK HUI,KHORS14@e.ntu.edu.sg,EEE,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,-1
RUTH,LOKRU012@e.ntu.edu.sg,CEE,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,-1
LAURA,ANGLA10@e.ntu.edu.sg,MSE,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,-1
CHUI HONG,TAYCH012@e.ntu.edu.sg,SCSE,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,-1
