Madhukumar,HUKUMAR@NTU.EDU.SG,SCSE,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
Alexei,OURIN@ntu.edu.sg,ADM,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
Chattopadhyay,UPAM@NTU.EDU.SG,EEE,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
Datta,ANWIT@NTU.EDU.SG,SCSE,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
Arvind,ARVI@NTU.EDU.SG,NBS,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
Moxley,JONMOX@NTU.EDU.SG,NBS,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
Jericho,OCHO@NTU.EDU.SG,CCEB,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
Wight,BIGSHO@NTU.EDU.SG,EEE,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
Miro,RUSEV@NTU.EDU.SG,CEE,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
Sergey,SITROK@NTU.EDU.SG,MSE,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
Kyvat,DANIIL@NTU.EDU.SG,SCSE,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
Verstappen,MAXVER@NTU.EDU.SG,MAE,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
Da Costa,ANTON@NTU.EDU.SG,ADM,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
D'Ambrosio,JEROM@NTU.EDU.SG,SOH,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
Callaway,UNDERT@NTU.EDU.SG,SSS,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
Wang,WLEI@NTU.EDU.SG,WKWSCI,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
Nakamura,SHINSUKE@NTU.EDU.SG,SPMS,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
Mamoud,FAISAL@NTU.EDU.SG,SBS,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
Lim,STEVEN@NTU.EDU.SG,ASE,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
Gunther,WALTER@NTU.EDU.SG,LKC,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
Hassan,DAIVARI@NTU.EDU.SG,NIE,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
