CHERN,YCHERN01@e.ntu.edu.sg,SCSE,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
KOH,KOH1@e.ntu.edu.sg,ADM,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
BRANDON,BR015@e.ntu.edu.sg,EEE,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
CALVIN,CT113@e.ntu.edu.sg,SCSE,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
CHAN,YCN019@e.ntu.edu.sg,NBS,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
DENISE,DL007@e.ntu.edu.sg,SCSE,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
DONG,DON84@e.ntu.edu.sg,ADM,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
ERNEST,ELI34@e.ntu.edu.sg,EEE,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
LEE,LE51@e.ntu.edu.sg,SCSE,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
LIU,SL22@e.ntu.edu.sg,NBS,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
RAWAL,AKY013@e.ntu.edu.sg,SSS,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
JANICE,JKWO01@e.ntu.edu.sg,NBS,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
JOEY,JKEE003@e.ntu.edu.sg,CCEB,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
JUN YU,JUNY034@e.ntu.edu.sg,EEE,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
LAI MENG,YLM061@e.ntu.edu.sg,CEE,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
MARGARET,MNGIA03@e.ntu.edu.sg,MSE,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
CHRISTINE,ZCHRI023@e.ntu.edu.sg,SCSE,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
BERNADETTE,BERNA001@e.ntu.edu.sg,MAE,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
MICHELLE,TEHYP02@e.ntu.edu.sg,ADM,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
ABIGAIL,KHOOA002@e.ntu.edu.sg,SOH,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
GRACE,KOHG06@e.ntu.edu.sg,SSS,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
ELAINE,CHEWE05@e.ntu.edu.sg,WKWSCI,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
